date,open,high,low,close,volume
2020-03-27,0.00246707,0.0024978,0.00232522,0.00237304,195811269.0
2020-03-28,0.00237144,0.00241632,0.00226819,0.00238159,314932329.0
2020-03-29,0.00239495,0.00240443,0.00227313,0.00228395,156054263.0
2020-03-30,0.00229771,0.00253787,0.00228275,0.00239855,116199882.0
2020-03-31,0.00240349,0.0024425,0.00239361,0.00240977,67786701.0
2020-04-01,0.0024043,0.00250354,0.00235875,0.00248858,152034474.0
2020-04-02,0.00248938,0.00260465,0.00245839,0.00250808,146749302.0
2020-04-03,0.00249793,0.00254428,0.00243168,0.00246667,97617758.0
2020-04-04,0.00246667,0.00254922,0.0024417,0.0024974,92364705.0
2020-04-05,0.00250381,0.00251342,0.00245519,0.00247108,55344996.0
2020-04-06,0.00246694,0.00265822,0.00246347,0.00265755,210552139.0
2020-04-07,0.00265728,0.00269936,0.00260479,0.00266383,202961221.0
2020-04-08,0.0026669,0.00272834,0.00262736,0.00267652,90384907.0
2020-04-09,0.00267638,0.00273208,0.00265167,0.00269161,89094012.0
2020-04-10,0.00270163,0.00271899,0.0025018,0.00262469,212989247.0
2020-04-11,0.00262522,0.0026848,0.00258448,0.00262402,76732837.0
2020-04-12,0.0026287,0.00268747,0.00259023,0.00262776,114627907.0
2020-04-13,0.00262349,0.00263938,0.00248417,0.00260906,185252284.0
2020-04-14,0.00260906,0.00264072,0.00257994,0.00262549,67401911.0
2020-04-15,0.00262416,0.00263551,0.00252451,0.00254602,143735234.0
2020-04-16,0.00254188,0.00271151,0.00250073,0.00266476,151063706.0
2020-04-17,0.00267171,0.00267772,0.00263671,0.00264873,55401970.0
2020-04-18,0.00265621,0.00279994,0.00264473,0.00273088,92775767.0
2020-04-19,0.00273328,0.00276788,0.00266837,0.00271325,70450538.0
2020-04-20,0.00271298,0.00273809,0.00258515,0.00264299,180876115.0
2020-04-21,0.00262977,0.00267144,0.00257794,0.00260465,85730979.0
2020-04-22,0.00260425,0.00273823,0.00259464,0.0026657,72581197.0
2020-04-23,0.00267144,0.00288676,0.00265621,0.00273983,243115927.0
2020-04-24,0.00273141,0.00281503,0.00272901,0.00278257,75266362.0
2020-04-25,0.0027823,0.00287621,0.00276254,0.00283774,173120551.0
2020-04-26,0.00284548,0.00326971,0.00284281,0.00321588,804586311.0
2020-04-27,0.00321,0.00322403,0.00304825,0.00313306,475335023.0
2020-04-28,0.00313347,0.00314762,0.00307216,0.00310822,168260399.0
2020-04-29,0.00309593,0.0033954,0.00308097,0.00332755,354821868.0
2020-04-30,0.00332755,0.00359362,0.0031503,0.00324981,551825570.0
2020-05-01,0.00323578,0.00340154,0.00322924,0.00330577,220229951.0
2020-05-02,0.00331018,0.00341597,0.00327265,0.0033954,148558121.0
2020-05-03,0.00339179,0.00344616,0.00328587,0.00333943,167590125.0
2020-05-04,0.00334077,0.00335186,0.00312225,0.00328654,151515338.0
2020-05-05,0.0033015,0.00336374,0.00324126,0.0033043,83336304.0
2020-05-06,0.00330938,0.00342252,0.00328213,0.00331272,180927494.0
2020-05-07,0.00331259,0.0036031,0.00328454,0.00355662,366483103.0
2020-05-08,0.00355729,0.00359229,0.0034328,0.00347982,259386572.0
2020-05-09,0.00349384,0.00353338,0.00335266,0.00348289,216543474.0
2020-05-10,0.003471,0.003471,0.00299535,0.00328614,321215093.0
2020-05-11,0.00326343,0.00338912,0.00306641,0.00322242,192928752.0
2020-05-12,0.00321174,0.00335693,0.00320479,0.00328667,107312600.0
2020-05-13,0.00328654,0.00339607,0.00326356,0.00337203,168041623.0
2020-05-14,0.00336481,0.00353966,0.0033393,0.00344789,315454837.0
2020-05-15,0.00343641,0.0034499,0.00328587,0.00332434,126538135.0
2020-05-16,0.00333997,0.00338538,0.00330297,0.00335239,82487862.0
2020-05-17,0.00335052,0.00344616,0.00334197,0.00338351,103697263.0
2020-05-18,0.00337269,0.00345938,0.00333756,0.00338992,93527053.0
2020-05-19,0.00339273,0.00344282,0.00332634,0.00340435,90146889.0
2020-05-20,0.00339193,0.00342746,0.00328427,0.00333957,152417725.0
2020-05-21,0.0033409,0.00340796,0.00323445,0.00330911,205051270.0
2020-05-22,0.00330858,0.00340609,0.00328948,0.00336268,107093984.0
2020-05-23,0.00336588,0.00342358,0.00333075,0.0033755,160030526.0
2020-05-24,0.00338685,0.00342345,0.00325248,0.0032673,160499199.0
2020-05-25,0.00325635,0.00340341,0.00323244,0.00338258,280489252.0
2020-05-26,0.00337283,0.00338325,0.003282,0.00331005,186936703.0
2020-05-27,0.00330991,0.00336414,0.00327238,0.00333903,176177359.0
2020-05-28,0.00333903,0.00341931,0.00331472,0.00337002,256317241.0
2020-05-29,0.0033747,0.00341049,0.00333863,0.00337977,142622163.0
2020-05-30,0.00337964,0.00351281,0.00337403,0.00349691,217499962.0
2020-05-31,0.00349705,0.00358267,0.00339674,0.00341931,164715811.0
2020-06-01,0.00340502,0.00360644,0.0033389,0.00353325,291813951.0
2020-06-02,0.00354834,0.00355929,0.00329869,0.00342826,325981114.0
2020-06-03,0.00342078,0.00346753,0.00336294,0.00345511,130101538.0
2020-06-04,0.00344683,0.00356357,0.00342692,0.00350359,326193437.0
2020-06-05,0.00350359,0.00351134,0.00344616,0.00346045,114071897.0
2020-06-06,0.0034507,0.00347274,0.00340702,0.00346299,101549796.0
2020-06-07,0.00345938,0.0034909,0.00340609,0.00347114,132911616.0
2020-06-08,0.00346112,0.00347795,0.00340675,0.00344429,121989865.0
2020-06-09,0.00345257,0.00345791,0.00332594,0.00341757,116938419.0
2020-06-10,0.00341757,0.00346659,0.00339393,0.00344095,113128228.0
2020-06-11,0.00344616,0.00346459,0.00317915,0.00326757,169023974.0
2020-06-12,0.00326757,0.00337269,0.00325261,0.0033393,133287436.0
2020-06-13,0.003358,0.00338445,0.0033218,0.00337149,93631744.0
2020-06-14,0.00335733,0.00338191,0.00331526,0.00333556,65658290.0
2020-06-15,0.00332407,0.00333142,0.00320079,0.00330497,147058752.0
2020-06-16,0.00329936,0.00333917,0.00321735,0.00331993,219496367.0
2020-06-17,0.00332007,0.00334251,0.00326517,0.00331339,136091681.0
2020-06-18,0.00331098,0.00332848,0.00324874,0.00328253,59137982.0
2020-06-19,0.00328186,0.00329656,0.00323992,0.00325902,84566591.0
2020-06-20,0.00325902,0.00327465,0.00319518,0.00326169,59266072.0
2020-06-21,0.00326797,0.00329362,0.00324273,0.00324513,84555177.0
2020-06-22,0.00325341,0.00333943,0.00324847,0.00330337,118270150.0
2020-06-23,0.00331633,0.00332714,0.00328787,0.00329736,96686433.0
2020-06-24,0.00330925,0.00332153,0.00317527,0.00323151,124832546.0
2020-06-25,0.00323872,0.0032442,0.00317634,0.00321655,73502899.0
2020-06-26,0.00322055,0.00322844,0.00313427,0.00315136,69665977.0
2020-06-27,0.00314095,0.00315697,0.00303208,0.00307817,94867690.0
2020-06-28,0.00307763,0.00313347,0.0030433,0.00309112,116394661.0
2020-06-29,0.00309807,0.00311223,0.00305987,0.00308244,85385099.0
2020-06-30,0.00307616,0.00310648,0.00304825,0.00309687,58330225.0
2020-07-01,0.00308565,0.00316686,0.00307216,0.00309927,120676078.0
2020-07-02,0.00310568,0.00313867,0.00305065,0.00310154,97986311.0
2020-07-03,0.00309513,0.00311824,0.00305639,0.00309072,76387879.0
2020-07-04,0.00309286,0.00311383,0.00307122,0.00307376,60368775.0
2020-07-05,0.00307656,0.00309753,0.00304371,0.00307603,88706470.0
2020-07-06,0.00307055,0.00350226,0.00306281,0.00349865,461294907.0
2020-07-07,0.00349838,0.0044016,0.00347274,0.00418882,3965388549.0
2020-07-08,0.00418882,0.0074799,0.00388695,0.00636564,23657008079.0
2020-07-09,0.0063615,0.00675794,0.00540967,0.00577218,8645375967.0
2020-07-10,0.00577365,0.00578821,0.00454158,0.00471683,7536784753.0
2020-07-11,0.00471683,0.00529399,0.00461558,0.00508121,3661361202.0
